Date,Close/Last,Volume,Open,High,Low
04/28/2025,$162.42,20871150,$164.26,$164.95,$160.3801
04/25/2025,$163.85,35148050,$167.10,$168.24,$163.00
04/24/2025,$161.47,30787480,$158.525,$161.71,$158.09
04/23/2025,$157.72,18575740,$157.91,$160.02,$156.35
04/22/2025,$153.90,15910330,$151.07,$154.61,$150.87
04/21/2025,$149.86,16147780,$150.965,$151.06,$148.40
04/17/2025,$153.36,19513410,$156.61,$157.07,$150.90
04/16/2025,$155.50,16921500,$155.47,$158.18,$153.91
04/15/2025,$158.68,15690780,$161.57,$162.05,$157.645
04/14/2025,$161.47,18255930,$162.31,$164.03,$159.92
04/11/2025,$159.40,22581990,$155.585,$159.86,$155.585
04/10/2025,$155.37,35270540,$158.76,$160.03,$152.20
04/09/2025,$161.06,46479540,$146.33,$161.87,$145.81
04/08/2025,$146.58,35304390,$153.575,$154.44,$145.21
04/07/2025,$149.24,47823020,$143.39,$154.93,$142.66
04/04/2025,$147.74,39832210,$149.90,$153.09,$147.54
04/03/2025,$152.63,28416070,$152.835,$154.6872,$152.18
04/02/2025,$158.86,17113320,$156.96,$160.275,$156.53
04/01/2025,$158.88,20111380,$155.30,$160.08,$155.255
03/31/2025,$156.23,33591550,$154.81,$157.13,$152.21
03/28/2025,$156.06,34866460,$162.36,$163.81,$155.3394
