Date,Close/Last,Volume,Open,High,Low
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
