Date,Close/Last,Volume,Open,High,Low
04/28/2025,$78.56,16882410,$78.765,$79.61,$76.92
04/25/2025,$79.78,19746210,$77.55,$80.30,$76.90
04/24/2025,$77.42,23875590,$74.57,$77.59,$73.60
04/23/2025,$72.93,26385510,$73.695,$75.40,$72.50
04/22/2025,$70.21,20351240,$67.54,$70.40,$67.44
04/21/2025,$66.74,19826150,$67.76,$68.00,$65.645
04/17/2025,$68.80,20694060,$70.435,$70.48,$67.00
04/16/2025,$69.33,28475010,$67.925,$70.4505,$67.17
04/15/2025,$71.04,19132750,$71.12,$72.80,$70.55
04/14/2025,$71.02,32634730,$74.67,$74.78,$69.97
04/11/2025,$69.55,30807780,$69.04,$70.165,$66.825
04/10/2025,$70.05,44882310,$72.50,$73.05,$67.50
04/09/2025,$77.87,63132620,$66.20,$78.56,$63.70
04/08/2025,$65.54,40822110,$71.60,$72.97,$63.52
04/07/2025,$68.37,50181770,$63.935,$72.46,$61.54
04/04/2025,$64.72,50737720,$70.65,$71.34,$63.8603
04/03/2025,$74.34,44839500,$82.915,$83.3496,$74.21
04/02/2025,$88.60,14520370,$87.13,$89.925,$86.70
04/01/2025,$88.71,15337060,$88.525,$88.89,$86.245
03/31/2025,$86.89,21089540,$86.00,$87.09,$84.1001
03/28/2025,$88.44,17117990,$90.47,$90.89,$87.60
